Cycle,MSE,Avg,Min,Max,Discrepancy
480000,6776.060975,50.60,0.00,264.00,16.00
482000,6769.217500,50.65,0.00,264.00,16.00
484000,6739.870975,50.60,0.00,263.00,17.00
486000,6728.886775,50.62,0.00,263.00,17.00
488000,6703.170975,50.60,0.00,262.00,17.00
490000,6691.614375,50.63,0.00,262.00,17.00
492000,6666.303600,50.58,0.00,261.00,17.00
494000,6658.500000,50.60,0.00,261.00,17.00
496000,6634.184375,50.58,0.00,260.00,16.00
498000,6626.238975,50.65,0.00,260.00,17.00
500000,6598.182775,50.59,0.00,259.00,16.00
502000,6588.311775,50.64,0.00,259.00,17.00
504000,6566.491900,50.59,0.00,258.00,16.00
506000,6548.277900,50.61,0.00,258.00,17.00
508000,6531.200975,50.60,0.00,257.00,16.00
510000,6520.775600,50.62,0.00,257.00,17.00
512000,6494.176975,50.56,0.00,257.00,16.00
514000,6488.865600,50.62,0.00,256.00,17.00
516000,6464.231900,50.59,0.00,256.00,16.00
518000,6452.564375,50.63,0.00,255.00,16.00
520000,6427.935775,50.57,0.00,255.00,16.00
522000,6421.058975,50.61,0.00,255.00,16.00
524000,6396.226975,50.56,0.00,254.00,16.00
526000,6391.113100,50.63,0.00,254.00,16.00
528000,6365.074375,50.58,0.00,253.00,15.00
530000,6351.321900,50.59,0.00,253.00,15.00
532000,6334.671900,50.59,0.00,252.00,15.00
534000,6323.502775,50.59,0.00,252.00,15.00
536000,6298.145775,50.57,0.00,251.00,15.00
538000,6291.460975,50.60,0.00,251.00,13.00
540000,6269.593600,50.58,0.00,250.00,14.00
542000,6260.950975,50.60,0.00,250.00,13.00
544000,6234.219375,50.53,0.00,249.00,14.00
546000,6231.993600,50.58,0.00,249.00,14.00
548000,6205.675100,50.57,0.00,248.00,14.00
550000,6198.471900,50.59,0.00,248.00,13.00
552000,6178.216400,50.56,0.00,248.00,13.00
554000,6171.250000,50.60,0.00,248.00,13.00
556000,6146.969100,50.53,0.00,247.00,13.00
558000,6142.040975,50.60,0.00,247.00,13.00
560000,6121.585775,50.57,0.00,246.00,13.00
562000,6107.813600,50.58,0.00,246.00,13.00
564000,6089.357975,50.55,0.00,245.00,13.00
566000,6080.653600,50.58,0.00,245.00,12.00
568000,6059.858400,50.54,0.00,244.00,13.00
570000,6054.216775,50.62,0.00,244.00,12.00
572000,6032.926975,50.56,0.00,243.00,13.00
574000,6026.078975,50.61,0.00,243.00,12.00
576000,6004.557975,50.55,0.00,243.00,13.00
578000,5993.435775,50.57,0.00,243.00,12.00
580000,5976.609375,50.53,0.00,242.00,13.00
582000,5971.448975,50.61,0.00,242.00,12.00
584000,5939.339375,50.53,0.00,241.00,13.00
586000,5942.882775,50.59,0.00,241.00,12.00
588000,5917.708775,50.54,0.00,240.00,13.00
590000,5915.704375,50.58,0.00,240.00,12.00
592000,5894.497975,50.55,0.00,239.00,13.00
594000,5889.150000,50.60,0.00,239.00,12.00
596000,5861.318400,50.54,0.00,239.00,12.00
598000,5858.444375,50.58,0.00,239.00,13.00
600000,5837.427975,50.55,0.00,238.00,13.00
602000,5828.955100,50.57,0.00,238.00,13.00
604000,5811.229775,50.52,0.00,237.00,13.00
606000,5802.925775,50.57,0.00,237.00,13.00
608000,5786.919900,50.51,0.00,236.00,13.00
610000,5780.596400,50.56,0.00,236.00,13.00
612000,5759.509375,50.53,0.00,236.00,13.00
614000,5749.399775,50.52,0.00,235.00,13.00
616000,5736.619100,50.53,0.00,235.00,13.00
618000,5732.909375,50.53,0.00,235.00,13.00
620000,5706.510000,50.50,0.00,234.00,13.00
622000,5706.565100,50.57,0.00,234.00,13.00
624000,5682.809775,50.52,0.00,233.00,13.00
626000,5678.844375,50.58,0.00,233.00,13.00
628000,5655.709975,50.51,0.00,233.00,13.00
630000,5654.755775,50.57,0.00,233.00,13.00
632000,5631.320000,50.50,0.00,232.00,13.00
634000,5634.237500,50.55,0.00,232.00,13.00
636000,5607.979975,50.51,0.00,231.00,13.00
638000,5606.499100,50.53,0.00,231.00,13.00
640000,5584.440000,50.50,0.00,231.00,13.00
642000,5586.435100,50.57,0.00,231.00,13.00
644000,5559.209775,50.49,0.00,230.00,12.00
646000,5562.785100,50.57,0.00,230.00,13.00
648000,5536.949600,50.48,0.00,229.00,12.00
650000,5539.707500,50.55,0.00,229.00,13.00
652000,5514.349975,50.51,0.00,229.00,12.00
