Cycle,MSE,Avg,Min,Max,Discrepancy
376000,0.000000,50.00,50.00,50.00,0.00
378000,0.000000,50.00,50.00,50.00,0.00
380000,0.000000,50.00,50.00,50.00,0.00
382000,0.000000,50.00,50.00,50.00,0.00
384000,0.000000,50.00,50.00,50.00,0.00
386000,0.000000,50.00,50.00,50.00,0.00
388000,0.000000,50.00,50.00,50.00,0.00
390000,0.000000,50.00,50.00,50.00,0.00
392000,0.000000,50.00,50.00,50.00,0.00
394000,0.000000,50.00,50.00,50.00,0.00
396000,0.000000,50.00,50.00,50.00,0.00
398000,0.000000,50.00,50.00,50.00,0.00
400000,0.000000,50.00,50.00,50.00,0.00
402000,0.000000,50.00,50.00,50.00,0.00
404000,0.000000,50.00,50.00,50.00,0.00
406000,0.000000,50.00,50.00,50.00,0.00
408000,0.000000,50.00,50.00,50.00,0.00
410000,0.000000,50.00,50.00,50.00,0.00
412000,0.000000,50.00,50.00,50.00,0.00
414000,0.000000,50.00,50.00,50.00,0.00
416000,0.000000,50.00,50.00,50.00,0.00
418000,0.000000,50.00,50.00,50.00,0.00
420000,0.000000,50.00,50.00,50.00,0.00
422000,0.000000,50.00,50.00,50.00,0.00
424000,0.000000,50.00,50.00,50.00,0.00
426000,0.000000,50.00,50.00,50.00,0.00
428000,0.000000,50.00,50.00,50.00,0.00
430000,0.000000,50.00,50.00,50.00,0.00
432000,0.000000,50.00,50.00,50.00,0.00
434000,0.000000,50.00,50.00,50.00,0.00
436000,0.000000,50.00,50.00,50.00,0.00
438000,0.000000,50.00,50.00,50.00,0.00
440000,0.000000,50.00,50.00,50.00,0.00
442000,0.000000,50.00,50.00,50.00,0.00
444000,0.000000,50.00,50.00,50.00,0.00
446000,0.000000,50.00,50.00,50.00,0.00
448000,0.000000,50.00,50.00,50.00,0.00
450000,0.000000,50.00,50.00,50.00,0.00
452000,0.000000,50.00,50.00,50.00,0.00
454000,0.000000,50.00,50.00,50.00,0.00
456000,0.000000,50.00,50.00,50.00,0.00
458000,0.000000,50.00,50.00,50.00,0.00
460000,0.000000,50.00,50.00,50.00,0.00
462000,0.000000,50.00,50.00,50.00,0.00
464000,0.000000,50.00,50.00,50.00,0.00
466000,0.000000,50.00,50.00,50.00,0.00
468000,0.000000,50.00,50.00,50.00,0.00
470000,0.000000,50.00,50.00,50.00,0.00
472000,0.000000,50.00,50.00,50.00,0.00
474000,0.000000,50.00,50.00,50.00,0.00
476000,0.000000,50.00,50.00,50.00,0.00
478000,0.000000,50.00,50.00,50.00,0.00
