Cycle,MSE,Avg,Min,Max,Discrepancy
676000,0.040000,50.00,49.00,51.00,1.00
678000,0.040000,50.00,49.00,51.00,1.00
680000,0.040000,50.00,49.00,51.00,1.00
682000,0.040000,50.00,49.00,51.00,1.00
684000,0.040000,50.00,49.00,51.00,1.00
686000,0.040000,50.00,49.00,51.00,1.00
688000,0.040000,50.00,49.00,51.00,1.00
690000,0.040000,50.00,49.00,51.00,1.00
692000,0.040000,50.00,49.00,51.00,1.00
694000,0.040000,50.00,49.00,51.00,1.00
696000,0.040000,50.00,49.00,51.00,1.00
698000,0.040000,50.00,49.00,51.00,1.00
700000,0.040000,50.00,49.00,51.00,1.00
702000,0.040000,50.00,49.00,51.00,1.00
704000,0.040000,50.00,49.00,51.00,1.00
706000,0.040000,50.00,49.00,51.00,1.00
708000,0.040000,50.00,49.00,51.00,1.00
710000,0.040000,50.00,49.00,51.00,1.00
712000,0.040000,50.00,49.00,51.00,1.00
714000,0.040000,50.00,49.00,51.00,1.00
716000,0.040000,50.00,49.00,51.00,1.00
718000,0.040000,50.00,49.00,51.00,1.00
720000,0.040000,50.00,49.00,51.00,1.00
722000,0.040000,50.00,49.00,51.00,1.00
724000,0.040000,50.00,49.00,51.00,1.00
726000,0.040000,50.00,49.00,51.00,1.00
728000,0.040000,50.00,49.00,51.00,1.00
730000,0.040000,50.00,49.00,51.00,1.00
732000,0.040000,50.00,49.00,51.00,1.00
734000,0.040000,50.00,49.00,51.00,1.00
736000,0.040000,50.00,49.00,51.00,1.00
738000,0.040000,50.00,49.00,51.00,1.00
740000,0.040000,50.00,49.00,51.00,1.00
742000,0.040000,50.00,49.00,51.00,1.00
744000,0.040000,50.00,49.00,51.00,1.00
746000,0.040000,50.00,49.00,51.00,1.00
748000,0.040000,50.00,49.00,51.00,1.00
750000,0.040000,50.00,49.00,51.00,1.00
752000,0.040000,50.00,49.00,51.00,1.00
754000,0.040000,50.00,49.00,51.00,1.00
756000,0.040000,50.00,49.00,51.00,1.00
758000,0.040000,50.00,49.00,51.00,1.00
760000,0.040000,50.00,49.00,51.00,1.00
762000,0.040000,50.00,49.00,51.00,1.00
764000,0.040000,50.00,49.00,51.00,1.00
766000,0.040000,50.00,49.00,51.00,1.00
768000,0.040000,50.00,49.00,51.00,1.00
770000,0.040000,50.00,49.00,51.00,1.00
772000,0.040000,50.00,49.00,51.00,1.00
774000,0.040000,50.00,49.00,51.00,1.00
776000,0.040000,50.00,49.00,51.00,1.00
778000,0.040000,50.00,49.00,51.00,1.00
780000,0.040000,50.00,49.00,51.00,1.00
782000,0.040000,50.00,49.00,51.00,1.00
784000,0.040000,50.00,49.00,51.00,1.00
786000,0.040000,50.00,49.00,51.00,1.00
788000,0.040000,50.00,49.00,51.00,1.00
790000,0.040000,50.00,49.00,51.00,1.00
792000,0.040000,50.00,49.00,51.00,1.00
794000,0.040000,50.00,49.00,51.00,1.00
796000,0.040000,50.00,49.00,51.00,1.00
798000,0.040000,50.00,49.00,51.00,1.00
800000,0.040000,50.00,49.00,51.00,1.00
802000,0.040000,50.00,49.00,51.00,1.00
804000,0.040000,50.00,49.00,51.00,1.00
806000,0.040000,50.00,49.00,51.00,1.00
808000,0.040000,50.00,49.00,51.00,1.00
